"Company Name","Booth","Website","City, State, Country","Descriptions","Categories","Brands"
"3PM Bites",9211,"3pmbites.com","Piscataway,  NJ, United States",,,
"4505 Meats","N820","https://4505meats.com/chicharrones","San Francisco,  CA, United States","4505 Chicharrones were created by Chef & Butcher Ryan Farr in San Francisco, as a solution to meat industry waste. 4505 Chicharrones are the first all-natural, pork rind to market, sourced exclusively from sustainably-raised hogs. They boast a short ingredient list containing items you would find in a kitchen, not a food lab. Their delicious taste and our commitment to using the best ingredients possible take the traditional convenience store snack to a whole new level.","chips, crackers/chips, dairy-free products, dietetic foods, egg-free products, low carbohydrate foods, packaged convenience foods, snacks, specialty/gourmet products, gluten/wheat/yeast-free products","4505 Chicharrones (flavors: Classic Chile and Salt, Jalapeno Cheddar, Smokehouse BBQ)"
"4Pure, Inc.",7402,"www.drink4pure.com","Cumberland,  ME, United States",,,
"4th & Heart",5666,"http://fourthandheart.com","Los Angeles,  CA, United States","4th & Heart is an ode to the Heart Chakra. It's the intersection where most of us get stuck. We think through everything and we rarely feel our way through it. Our intellect gets in the way. We find the most lasting decisions are heart choices and not hard choices. 4th & Heart is an artisanal food brand based in Los Angeles, set on a mission to modernize ancient pantry staples starting with a line of grass-fed spreadable butters known as ghee. This year we'll be launching several exciting new products and we invite you to come taste and enjoy at our booth as well as our food truck in the Grand Plaza. We will be prepping an exclusive blogger recipe each day at the food truck, so be sure to swing by!","dairy-free products, low carbohydrate foods, organic dairy products, packaged oils, trans fat free, halal, ayurvedic remedies, ethnic/multicultural, lipids: fats and oils, refrigerated/frozen dairy","4th & Heart's line of flavored Pure Spreadable Butters: Flavor profiles: 1) Original Ghee 2) Madagascar Vanilla Bean Ghee 3) Himalayan Pink Salt, Whipped Ghee 4) Himalayan Salted 5) Garlic 6) White Truffle Sea Salted, Whipped Ghee"
"5 Star Packaging","N1730","http://www.5starpackaging.com","Anaheim,  CA, United States","5 star packaging is a full line supplier of all types of retail packaging products. From floor displays and set up boxes to full labeled retail cartons. We can design, manufacture and pack out your product on time and on budget. Give us a call today to get your product on the shelves of any major retail setting.","packaged convenience foods, full line packaging, packaging, printing/soy inks, private labeling/contract manufacturing, store fixtures/displays",
"51FIFTY Enterprises",9601,"http://51Fiftyenergydrink.com","Livingston,  CA, United States",,"organic beverages/juices",
"A B B Labels",5613,"http://www.ABBlabels.com","Los Angeles,  CA, United States","ABB is a leading manufacturer of Custom Labels & Tags specialized in Quick Turnaround at Competitive Prices. We will be featuring our newest Pressure Sensitive Label Catalog and Line Card. Experienced & Knowledgable staff are on hand to provide instant quotes, answer any questions, and provide a customized solution to your specific labeling requirements. Our product line includes labels for food packaging, pharmaceutical, nutraceutical, and natural & organic products.","packaging, paper products, private labeling/contract manufacturing",
"A La Maison",3049,"http://www.natural-nectar.com","Huntington,  NY, United States",,"cookies, crackers/chips, kosher/parve products, nut butters, snacks, specialty/gourmet products, spices/seasonings, gluten/wheat/yeast-free products, trans fat free, soap","Natural Nectar, OOLALA, Nectar Nugget, ChocoDream Spreads, ChocoDream Cookies, Surf Chips, Cracklebred, A LA MAISON SOAPS!"
"A Plus Label",3078,"http://www.apluslabel.com","Stanton,  CA, United States",,,
"A.C. Grace Company",4656,"http://www.acgrace.com","Big Sandy,  TX, United States","A. C. Grace Company provides a line of pure Vitamin E products for whole health support and specific condition needs. UNIQUE E(r) branded: Mixed Tocopherols Concentrate, Annatto Tocotrienols, Natural Moisturizing Cream, Derma Cream, Omega Krill Oil and Omega E (for cardiovascular support) formulated in collaboration with Dr. Mark Houston from the Hypertension Institute of Nashville -- along with AquaE(r) - a water-soluble E, and IronUP(tm) - a grape flavored product for children. ADDITIONAL 25% OFF SHOW SPECIAL!","immune system, mind & memory, anti-aging, skin care, raw ingredients, antioxidant formulas, heart & circulation support, joint health, nutritional supplements, vitamin supplements","UNIQUE E Mixed Tocopherols Concentrate UNIQUE E Tocotrienols UNIQUE E Mixed Tocopherols Concentrate Oil UNIQUE E Natural Moisturizer UNIQUE DERMA - skin treatment UNIQUE OMEGA E omegas, tocopherols, tocotrienols AquaE IronUP"
"A.Vogel - Herbed Sea Salt",1719,,"Ghent,  NY, United States",,,
"A.Vogel / Bionorica",2917,,"Ghent,  NY, United States",,,
"Aaron Thomas Company",4171,"http://www.Packaging.com","Garden Grove,  CA, United States","The Aaron Thomas Company is a full service contract packager specializing in nutritional supplements and natural food packaging services. We have service locations in Los Angeles, Chicago and Memphis. Our high speed automated packaging services allow you to bring your products to market in less time and with higher quality. We are SQF Level 2, GMP, and QAI certified. Additionally, we are AIB inspected.","packaging, private labeling/contract manufacturing","contract packaging, pouching, stick packs, organic, nsf, food packaging, organic packaging, los angeles packaging, qai, aib, sqf, organic"
"Abbottsford Farms",131,"http://www.safeeggs.com/","Lansing,  IL, United States","Davidson's Safest Choice(r) Eggs are pasteurized, so they taste great and are safe for all your favorite egg dishes! The Safest Choice(tm) all-natural, gentle water bath pasteurization process eliminates the risk of Salmonella in eggs without changing the nutrition or flavor. Now you can safely enjoy your favorite styles and recipes such as Hollandaise , Caesar salad dressing and other sauces--and sunny side up , poached or soft scrambled eggs. Stop by booth 5470 to learn more!","kosher/parve products, specialty/gourmet products, halal",">>>Davidson's Safest Choice Pasteurized Grade AA Large Eggs >>>Davidson's Safest Choice Cage Free Pasteurized Grade AA Large Eggs >>>Davidson's Safest Choice Non-GMO, Free Range Pasteurized Grade A Large Eggs"
"Abe's Vegan Muffins","N926","http://www.prpastry.com","West Nyack,  NY, United States",,"confections/desserts, dairy-free products, egg-free products, food service ready, kosher/parve products, snacks, vegan foods, refrigerated/frozen snacks/confection/dessert, refrigerated/frozen soy products","Abe's Vegan Muffins"
"Acai Roots",1876,"http://www.acairoots.com","San Diego,  CA, United States","Acai Roots was founded in 2005 by native 'cariocas' (Brazilians born in Rio de Janeiro). Our goal is to deliver the great taste of acai while maintaining its unique health benefits and never sacrificing quality. Our products always contain 100% organic Brazilian acai, harvested in the rainforest using sustainable methods. Our promise is to always deliver what you are seeking, great tasting acai which delivers all the health benefits. To your health, Marco Rega & Rafael Magalhaes","dairy-free products, food service ready, functional beverages, juices, kosher/parve products, organic beverages/juices, gluten/wheat/yeast-free products, full line organic refrigerated/frozen, refrigerated/frozen snacks/confection/dessert, antioxidant formulas","Organic Premium Acai Sorbet in a 3 gallon tub, Pint, 48oz, 64oz or Fruit Bar, Organic Acai Pure Pouches, Organic Acai Pouches, Organic Acai Freeze Dried Powder, Organic Premium Acai Juice, Organic Premium Acai Juice"
"Aceites El Dorado, S.L","N1504","http://www.aceiteseldorado.com","Lucena,  CO, Spain",,,
"Aceites Guadalentin SL","N1504","http://www.olimedcosmetics.com","Pozo Alcon,  Jaen, Spain","We are producers of Organic Extra Virgin Olive Oil and a Natural skin care line based in Extra Virgin olive oil and Essential oils.","packaged oils, anti-aging, baby care, cruelty-free personal care, eye care, hair care, lip care","Olimed, Biozait"
"Acme Smoked Fish Corporation","N646","http://www.acmesmokedfish.com","Brooklyn,  NY, United States","Acme Smoked Fish Corporation is a major producer and distributor of smoked seafood and pickled herring products in the United States. Acme's raw materials are carefully sourced from some of the most pristine waters around the globe. Acme's smoked seafood and pickled herring products are sold in retail packs throughout the nation in supermarkets, convenience stores, and specialty & gourmet stores under the Acme, Blue Hill Bay, and Ruby Bay Brands.","full line bulk, food service ready, full line grocery, kosher/parve products, low carbohydrate foods, packaged convenience foods, sauces, specialty/gourmet products, gluten/wheat/yeast-free products, refrigerated/frozen fish/poultry/meats","Acme, Blue Hill Bay, Ruby Bay"
"Acqua Filette California","N919","http://aquafilettecalifornia.com","Anaheim,  CA, United States","Showcasing Italy's purest naturally alkaline mineral water. Acqua Filette has the lowest Nitrate levels of any mineral water from Italy and one of the lowest in the world. Acqua Filette has a naturally occurring pH of 8.25.","bottled waters, functional beverages, specialty/gourmet products, immune system, weight loss, water/air filtration, anti-aging, skin care, general food & beverage, diet products",
"Action Brand Management",135,"http://www.gitsfoods.com","Andover,  MA, United States","Action Brand Management is a leader in brand management. Please come to our booth 8102 and see some of our great brands such as Yummy Health and Alwheys Good protein Cookies. All Natural Candy Bars that are high fiber, low sugar, low fat and taste like your favorite candy bar. YummySnacks Chips are made from 99% Wisconsin Cheese. Alwheys Good All Natural High Protein Cookies are made with Whey Protein and Monkfruit sugar - High Protein Less Sugar! Come see our great deals!","allergy-free grocery products, chips, cookies, crackers/chips, fiber/energy snacks, kosher/parve products, low carbohydrate foods, specialty/gourmet products, energy bars, sports and fitness products","Gits Indian products has been a household name in Indian and the EU for over 50 years. Come and try our ready meals and snacks!"
"Action Brand Management",134,"http://www.gitsfoods.com","Andover,  MA, United States","Action Brand Management is a leader in brand management. Please come to our booth 8102 and see some of our great brands such as Yummy Health and Alwheys Good protein Cookies. All Natural Candy Bars that are high fiber, low sugar, low fat and taste like your favorite candy bar. YummySnacks Chips are made from 99% Wisconsin Cheese. Alwheys Good All Natural High Protein Cookies are made with Whey Protein and Monkfruit sugar - High Protein Less Sugar! Come see our great deals!","allergy-free grocery products, chips, cookies, crackers/chips, fiber/energy snacks, kosher/parve products, low carbohydrate foods, specialty/gourmet products, energy bars, sports and fitness products","Gits Indian products has been a household name in Indian and the EU for over 50 years. Come and try our ready meals and snacks!"
"Action Brand Management",133,"http://www.gitsfoods.com","Andover,  MA, United States","Action Brand Management is a leader in brand management. Please come to our booth 8102 and see some of our great brands such as Yummy Health and Alwheys Good protein Cookies. All Natural Candy Bars that are high fiber, low sugar, low fat and taste like your favorite candy bar. YummySnacks Chips are made from 99% Wisconsin Cheese. Alwheys Good All Natural High Protein Cookies are made with Whey Protein and Monkfruit sugar - High Protein Less Sugar! Come see our great deals!","allergy-free grocery products, chips, cookies, crackers/chips, fiber/energy snacks, kosher/parve products, low carbohydrate foods, specialty/gourmet products, energy bars, sports and fitness products","Gits Indian products has been a household name in Indian and the EU for over 50 years. Come and try our ready meals and snacks!"
"ACURE",5353,"http://www.acureorganics.com","Fort Lauderdale,  FL, United States","Family owned and operated company founded on sustainable principles and accessible price points to steer people away from toxic chemicals. Free from gluten, parabens, sulfates, phthalates, synthetic fragrances, harmful preservatives, artificial colors and is never tested on animals. Our plant  food based formulas are clinically driven to provide optimal performance at a cellular level..because it's not enough to be natural, it also has to work.","anti-aging, baby care, bath products, cosmetics/beauty aids, cruelty-free personal care, full line personal care, hair care, lip care, skin care, soap",
"Adams Vegetable Oils, Inc.",1868,"http://www.adamsgrp.com","Arbuckle,  CA, United States","Adams Vegetable Oils, Inc. is a processor, marketer and toll manufacturer of specialty vegetable oils situated about 40 miles north of Sacramento. We have been supplier of bulk vegetable oils to the food manufacturing, cosmetic and pharmaceutical industries for over 25 years.Founded in 1981 to supply the European & Domestic markets with high quality safflower oil, Adams Vegetable Oils has evolved into a leading processor and marketer of specialty oils worldwide.","bulk grains, bulk oil, organic bulk foods, organic bulk ingredients, kosher/parve products, packaged oils, essential oils/fragrances, lipids: fats and oils, organic raw ingredients","A proud tradition of innovation and success spanning over three generations and almost 90 years has seen the business grow to include Adams Grain, Adams Vegetable Oils, Adams Trucking and Adams seed."
"Adeo Health Science",7604,"adeohealth.com","Boston,  MA, United States",,,
"Adrien Gagnon",4172,"http://www.adriengagnon.com","La Prairie,  QC, Canada","Since 1946, AG Natural Health has been a major player in the Canadian dietary supplements industry. Our products aim at facilitating the lives of our consumers who wish to take ownership of their health. Our manufacturing plant has to meet stringent GMPs to ensure product safety, quality, and efficacy. The Canadian requirements for natural health products are unequaled internationally and often match those of drugs in other countries. We offer peace of mind for quality, safety and efficacy.","full line vitamin & supplement products","As the number one brand in our region, we currently offer more than 150 natural health products including vitamins, minerals, omegas, joint and herbal supplements."
"Advanced Orthomolecular Research (AOR)",4662,"http://www.osg4life.com","Olds,  AB, Canada","OSG is a contract formulator, manufacturer and packager of OTC, nutritional & dietary supplements. It executes customers private label formulations and creates custom products under exacting quality requirements. OSG produces Softgels and liquid oral doses in a wide variety of sizes and configurations then packages them to meet customers requirements. It is OSG's mission to develop and provide the highest-quality, science-based products by following pharmaceutical GMP.","encapsulators, full line packaging, general supplement/personal care, analytical laboratories, customer services, private labeling/contract manufacturing, immune support, nutritional supplements",
"Advanced Sunflower, LLC","N1028","http://www.advancedsunflower.com","Huron,  SD, United States","Advanced Sunflower, LLC provides raw edible sunflower kernels and in-shell. We also offer custom roasted sunflower kernels and in-shell along with a variety of flavors. We are Safe Quality Food Institute, Kosher, and Non GMO certified. Visit our website at www.advancedsunflower.com","bulk grains, bulk nuts/seeds, allergy-free grocery products, dairy-free products, kosher/parve products, packaged nuts/seeds, snacks, vegan foods, gluten/wheat/yeast-free products, raw ingredients",
"Against The Grain Gourmet",5139,"http://www.againstthegraingourmet.com","Brattleboro,  VT, United States","Against The Grain is committed to baking gluten free products using the natural properties of real foods. We combine innovative, artisan baking techniques with naturally gluten free ingredients to stabilize, bind, and leaven our breads. We don't use a single ingredient that you couldn't find in your own pantry. The result is a line of products with no compromise in taste, quality, and texture. We are a family business. We make all of our products ourselves in a dedicated GF Facility","allergy-free grocery products, baked goods/breads, cookies, dairy-free products, food service ready, specialty/gourmet products, vegan foods, gluten/wheat/yeast-free products, books/brochures, refrigerated/frozen entrees","Original & Rosemary Baguettes, Sesame Bagels, Cinnamon/Raisin Bagels, Original &, Rosemary Rolls, DF Rolls, Pizza Shells, 3-Cheese, Pesto & Pepperoni Pizza, Pita Bread, Flatbread Pizzas, Vegan Cookies & Baking Mix's!"
"Agencia Argentina de Inversiones y Comercio Internacional",2243,"www.inversionycomercio.org.ar","Buenos Aires, , Argentina",,,
"AgMotion Specialty Grains",1759,"http://www.agmotion.com","Minneapolis,  MN, United States",,"bulk beans/legumes, bulk cereals, bulk grains, bulk nuts/seeds, organic raw ingredients",
"AGQ Labs",2426,"www.agq.com.","Oxnard,  CA, United States",,,
"Agrarmarkt Austria","N1616","http://www.ama.at","Vienna,  AT, Austria",,"refrigerated/frozen dairy",
"Agricultural Trade Promotion Center, MOA, P.R. China",385,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",386,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",387,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",388,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",389,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",390,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",391,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",392,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",393,"http://www.cafte.gov.cn/","Beijing, , China",,,
"Agricultural Trade Promotion Center, MOA, P.R. China",394,"http://www.cafte.gov.cn/","Beijing, , China",,,
"AGROPRO JSC","N227","http://www.agropro.eu","Kaunas,  Kaunas, Lithuania","'Agropro' is the largest producer, processor and trader of hemp in the Baltic region, as well as one of the largest producers of organic hemp in Europe. Currently, the land being cultivated on certified organic fields has reached 2200 ha. Our exceptional products are made from certified organic raw hemp seed by ensuring total control of the organic farms, and by tracking the products from field to table. Our products do not contain any preservatives, colors, food additives, GMOs, gluten-free.","bulk grains, bulk nuts/seeds, bulk oil, bulk produce, organic bulk foods, organic bulk ingredients, organic produce, vegan foods, gluten/wheat/yeast-free products, protein: proteins/amino acids",
"AgStandard Smoked Almonds",7508,"http://www.getagstandard.com","Los Angeles,  CA, United States","Simple food made with complete transparency. We make in-house smoked almonds using real wood and roast lightly. Our different seasoning blends consist simply of wholesome spices to bring you a delicious, healthy snack. Quality, transparency, and accessibility are the pillars of AgStandard. We go the extra mile so you don't have to. Kosher, Non-GMO, Vegan, Gluten-free and made without any refined sugars, preservatives or additives.","kosher/parve products, packaged convenience foods, packaged nuts/seeds, snacks, specialty/gourmet products, vegan foods, gluten/wheat/yeast-free products, trans fat free, children's products","AgStandard"
"Ainsworth Pet Nutrition","N210","http://www.nutrish.com","Pasadena,  CA, United States",,"full line pet products, pet foods","Rachael Ray Nutrish Food for Dogs  Cats"
"Air Products & Chemicals, Inc.","N343","http://www.airproducts.com/food","Allentown,  PA, United States","Providing food freezing, chilling and preservation solutions. Whether your Modified Atmosphere Packaging (MAP), cooling, chilling or freezing applications include bakery goods, fruit and vegetables, poultry, meats, ready meals or anything in-between, Air Products' Freshline(r) solutions offer you high-purity gases and equipment, international supply capability, and - most importantly - unmatched industry experience and technical support to help you succeed.","food mills/processors, manufacturing equipment, packaging, full line refrigerated/frozen","Food grade liquid nitrogen and carbon dioxide (N2 & CO2), a full-line of Freshline Freezing/Solution Equipment and Modified Atmosphere Packaging (MAP)"
"Aisle 9 Group",2986,"http://www.aisle9group.com/","Thousand Oaks,  CA, United States","Aisle 9/MMI provides national sales services for Emerging Brands. Aisle 9/MMI fills an important void in the industry, offering a team of senior sales managers, local retail specialists, branding and marketing specialists to truly sell your products to the nations' top retailers. Together with our IRI syndicated data and analytic experts, Aisle 9/MMI offers you the best in class sales representation and consultation that is unavailable from the large sales agencies or localized brokers.","packaging, analytical laboratories, certification services, consulting, customer services, internet services, private labeling/contract manufacturing","Manuka Med, Lorissa's Kitchen, Carla Lee's NutBurgers, Schmidt's All Natural Deodorant, Portland Roasting Coffee, Revolution Foods, Gourmet Warehouse, Spring Prairie, Thursday Plantation, Gocce Brand Espresso, Omaha Steak, Buddha Brands"
"Aiya Matcha",256,"http://www.aiya-america.com","Torrance,  CA, United States","Bridging tradition and innovation, Aiya has been producing premium Japanese Matcha Green Tea since 1888, and has been owned by the same family since the beginning. As the largest producer of Matcha in the world, Aiya oversees all phases of the Matcha production process, from seed to cup, and has not had a product recall in its 130-year history. All of Aiya's pure Matcha products are Gluten-Free, Non-GMO Project Verified, Kosher and Halal certified. Taste the difference at booth 256!","bulk tea, organic bulk ingredients, functional beverages, functional food, herbal teas, kosher/parve products, specialty/gourmet products, tea, medicinal teas, green food supplements",
"Ajumma Republic Co.,Ltd.",1560,"www.ajummarepublic.com","Seoul, , Korea, Republic of",,,
"Aketta",7826,"http://www.aspirefg.com","Austin,  TX, United States",,,
"AL BARAKAH DATES FACTORY LLC",788,"www.albarakahdatesfactory.com","DUBAI, , United Arab Emirates",,,
"Al Dente Pasta Co",1624,"http://www.aldentepasta.com","Whitmore Lake,  MI, United States",,"bulk pastas, kosher/parve products, low carbohydrate foods, packaged pasta, sauces, specialty/gourmet products","Al Dente Pastas taste just like home-made and cook in 3 minutes. New are 3 Whole Wheat Pastas. Carba-Nada is a reduced-carb pasta. Monique's Pasta Sauces, are sweetened with fresh carrot instead of honey, sugar or corn syrup. All-natural, delicious"
"Alaffia Sustainable Skin Care",3044,"http://www.alaffia.com","Olympia,  WA, United States","Alaffia was founded to build community empowerment through the fair trade of indigenous, handcrafted shea butter and sustainable skincare products. Our ingredients are traditionally harvested and authentically crafted in our cooperatives in West Africa. Our finished products are handmade in small batches in our U.S. facility. A minimum of 10% of our gross sales support community projects. Our products are paraben, petroleum and cruelty free. Equality. Empowerment. Beauty.","anti-aging, baby care, bath products, cruelty-free personal care, ethnic/multicultural, full line personal care, hair care, skin care, soap, spa product lines","Alaffia, Alaffia Authentic, EveryDay Shea, EveryDay Coconut, Beautiful Curls, Queen Alaffia"
"AlArz Tahini","N519","http://www.alarz.co.il/eng","New York,  NY, United States",,,
"Alberta Rhodiola Rosea Growers Organization","N553","http://www.arrgo.ca","Thorsby,  AB, Canada","Rhodiola rosea - 100% Canadian-grown, fully sustainable and traceable. ARRGO now offers our highest quality Rhodiola rosea in organic and conventional tea blends. Two 8-ounce cups of our tea provide more than a daily Rhodiola supplement, plus the delicate taste and aroma that is unique to this amazing adaptogen. Stop by our booth and enjoy a cup!","bulk herbs, bulk tea, functional beverages, herbal teas, organic beverages/juices, tea, organic herbal remedies, botanical: herb, organic raw ingredients","Northern Vigour Rhodiola Rosea Teas"
"ALCANOVA SL (SOLER ROMERO)","N1504","www.soler-romero.com","Madrid,  MA, Spain",,,
"Alchem Life",4587,"http://www.alcheminternational.com","Missouri City,  TX, United States","AlchemLife(tm) uses synergistic ingredients that have the highest levels of purity and potency. Each complex has been developed using proprietary PhytoAdvance(tm) technology for enhanced bioavailability and is backed by human clinical studies. All of our phytochemical extracts are backed by research. They represent the quality assurance that comes from 75 years of experience in using science and technology to manufacture phytochemicals that have the highest levels of purity and potency.","ayurvedic remedies, botanical extracts, immune support, full line vitamin & supplement products, joint health, vitamin supplements","FlexiQule- promotes joint mobility & reduces inflammation. PhytoRelief- effective relief from cough, cold & flu symptoms. Liverubin- rapidly supports overall liver function."
"ALGARROBOS ORGANICOS DEL PERU SAC",2183,"www.algarrobosorganicos.pe","Lima,  Lima, Peru",,,
"Alive & Radiant","N1701","http://www.eataliveandradiant.com","Needham ,  MA, United States",,"organic processed/packaged foods, packaged convenience foods, packaged dried fruit/vegetables, snacks, vegan foods, gluten/wheat/yeast-free products","Alive & Radiant"
"All American Label",2874,"http://www.allamericanlabel.net","Dublin,  CA, United States","All American Label is 'More Than Just Labels', and we've successfully become the company you can depend on. Our quality products are shipped to six continents around the world, producing everything in house. We manufacture digital and Flexo labels, folding cartons and sleeves, signs and banners and even shrink sleeves. If its printed packaging you need, our highly-skilled dedicated team will combine with our state of the art equipment and top-notch materials to produce unparalleled results.","packaging, printing/soy inks, recycled products",
"All Good",2431,"http://www.allgoodproducts.com","Morro Bay,  CA, United States","All Good is a lifestyle brand with a clear vision: to live and inspire others to live in balance with nature. We make organic body care products with the soothing natural benefits of botanical ingredients. From chemical-free zinc sunscreens and sore muscle recovery spray to silky-smooth lip balms and sumptuous coconut oils, we cover the pain and pleasure of an active, healthy life including products for kids and babies too! All Good is dedicated environmental, social and economic health.","pain relief, anti-aging, baby care, cruelty-free personal care, deodorant, lip care, massage products, skin care, private labeling/contract manufacturing, sports and fitness products","All Good Brand"
"All Terrain Co",2520,"http://www.allterrainco.com/","Newport,  NH, United States","All Terrain's mission is to help families live more active, healthier lives. To help accomplish its mission, it sells extremely effective, natural skin protection products, including natural insect repellents, sunscreens, first aid, bandages, sanitizers, soaps & pet products. All Terrain has won numerous independent awards & endorsements for its products' effectiveness including the '#1 rated sunscreen' by Consumer Reports & 'Gear of the Year' by National Geographic Adventure.","first aid, pain relief, pest control products, cruelty-free personal care, lip care, soap, topical analgesics, non-food pet products, children's products","All Terrain AquaSport TerraSport KidSport Herbal Armor Kids Herbal Armor Hand Sanz"
"Allied Distribution Services",2006,"http://www.allieddistribution.com","Buena Park,  CA, United States",,"bulk cereals, bulk flour, bulk grains, bulk herbs, bottled waters, canned goods, condiments, organic processed/packaged foods, general supplement/personal care","Warehousing, Fulfillment and Transportation Services"
"Allied Old English",983,"http://www.alliedoldenglish.com","Port Reading,  NJ, United States","A privately owned food manufacturer, specializing in 100% all fruit and organic fruit spreads, Brown Rice Organic Honey, and numerous varieties of condiments.","bulk oil, condiments, kosher/parve products, preserves/jams/jellies, sauces, asian","Sorrell Ridge, Sun Luck, Plantation, Fruit to the Max, Grandmother's, Ah So, Mee Tu, Saucy Susan, Dai Day."
"Almased USA, Inc.",4179,"http://www.almased.com","St. Petersburg,  FL, United States",,"diet products, food supplements, nutritional supplements, sports and fitness products","Almased Figure Plan Diet; Almased Wellness Tea"
"ALMENDRERA DEL SUR, S. COOP. AND.","N1504","www.almensur.com","Cartama Estacion,  Malaga, Spain",,,
